id,sex,Age,agemons,weight,height,District,Cluster
1507,1,10,120,26,132.1,3,75
1508,2,10,120,26,132.4,2,59
1509,2,10,120,26,132.4,3,84
1510,2,11,132,26,132.7,2,46
1511,1,14,168,26,133.2,1,17
1512,2,12,144,26,133.3,3,87
1513,2,12,144,26,133.5,2,66
1514,2,13,156,26,133.6,2,53
1515,2,10,120,26,133.7,2,66
1516,1,12,144,26,133.7,2,63
1517,1,13,156,26,134,2,54
1518,1,11,132,26,134.1,3,73
1519,2,10,120,26,134.2,3,90
1520,1,10,120,26,134.3,3,87
1521,2,19,228,26,134.5,2,65
1522,2,11,132,26,134.6,3,88
1523,2,11,132,26,134.7,2,64
1524,1,14,168,26,134.7,3,85
1525,2,12,144,26,135,1,22
1526,2,12,144,26,135,3,79
1527,2,13,156,26,135.1,3,72
1528,1,10,120,26,135.1,3,75
1529,2,12,144,26,135.4,3,72
1530,2,12,144,26,135.4,3,76
1531,2,10,120,26,135.5,2,50
1532,1,12,144,26,136,1,11
1533,2,11,132,26,136,3,87
1534,2,10,120,26,136.4,2,42
1535,2,10,120,26,136.5,1,11
1536,1,13,156,26,136.5,1,22
1537,2,11,132,26,136.6,2,57
1538,1,11,132,26,137,1,29
1539,1,12,144,26,137.5,3,89
1540,1,10,120,26,137.6,1,25
1541,2,13,156,26,137.6,3,86
1542,2,12,144,26,138,2,45
1543,1,10,120,26,138.1,2,48
1544,2,12,144,26,138.4,2,65
1545,1,11,132,26,138.5,1,15
1546,1,14,168,26,138.5,3,85
1547,2,14,168,26,138.6,3,86
1548,2,10,120,26,138.8,3,74
1549,1,13,156,26,139,1,12
1550,1,10,120,26,139.2,3,83
1551,1,15,180,26,139.7,1,24
1552,2,13,156,26,139.8,3,76
1553,1,12,144,26,139.8,3,88
1554,2,12,144,26,140,3,84
1555,1,10,120,26,140.2,1,25
1556,1,11,132,26,140.4,1,12
1557,2,13,156,26,140.5,1,20
1558,2,13,156,26,140.6,2,52
1559,2,10,120,26,140.9,1,24
1560,2,13,156,26,141,3,78
1561,1,10,120,25.5,126.4,2,42
1562,2,16,192,25.5,136.3,2,60
1563,2,12,144,25.5,136.5,2,41
1564,1,11,132,25.1,131.8,1,19
1565,1,13,156,25.1,134.5,3,74
1566,2,11,132,25.1,137.2,1,17
1567,1,11,132,25,120.8,2,68
1568,1,11,132,25,122,2,68
1569,2,10,120,25,123,2,66
1570,2,10,120,25,124.3,2,53
1571,1,10,120,25,124.4,2,59
1572,2,11,132,25,126,2,67
1573,1,10,120,25,126.6,2,66
1574,2,10,120,25,127,2,52
1575,2,11,132,25,127.3,2,51
1576,2,12,144,25,127.4,2,56
1577,2,10,120,25,127.5,2,56
1578,1,10,120,25,128,2,48
1579,2,10,120,25,128.2,2,64
1580,2,10,120,25,128.5,2,51
1581,1,12,144,25,128.7,2,40
1582,1,11,132,25,129,2,51
1583,1,11,132,25,129,1,12
1584,1,10,120,25,129,1,16
1585,2,10,120,25,129.4,2,63
1586,1,11,132,25,129.5,2,60
1587,1,10,120,25,129.8,2,51
1588,1,10,120,25,130,1,11
1589,2,10,120,25,130,1,12
1590,1,12,144,25,130,1,12
1591,2,10,120,25,130,1,12
1592,1,11,132,25,130,1,21
1593,1,13,156,25,130,3,73
1594,1,10,120,25,130.1,3,82
1595,1,11,132,25,130.4,2,50
1596,2,11,132,25,130.5,2,65
1597,1,10,120,25,130.5,2,63
1598,1,12,144,25,131,3,72
1599,1,10,120,25,131.2,1,39
1600,1,10,120,25,131.3,2,67
1601,2,12,144,25,131.4,3,72
1602,1,11,132,25,131.5,3,84
1603,1,10,120,25,131.6,2,67
1604,1,10,120,25,131.9,2,65
1605,2,12,144,25,132,2,66
1606,2,10,120,25,132,2,42
1607,2,12,144,25,132,3,89
1608,2,12,144,25,132.2,3,88
1609,1,11,132,25,132.3,3,90
1610,1,13,156,25,132.4,2,41
1611,1,14,168,25,133,2,53
1612,1,11,132,25,133,1,22
1613,1,10,120,25,133,1,22
1614,2,10,120,25,133,3,73
1615,2,10,120,25,133,3,89
1616,2,12,144,25,133,3,88
1617,1,13,156,25,133.4,1,14
1618,2,12,144,25,133.4,3,87
1619,1,10,120,25,133.5,2,58
1620,1,15,180,25,133.5,1,13
1621,1,10,120,25,133.7,3,75
1622,2,10,120,25,133.8,3,76
1623,2,12,144,25,134.2,3,89
1624,2,10,120,25,134.3,2,48
1625,2,10,120,25,134.3,2,49
1626,2,10,120,25,134.4,1,39
1627,1,10,120,25,134.4,3,76
1628,2,10,120,25,134.5,1,28
1629,2,10,120,25,134.5,3,75
1630,2,12,144,25,134.8,3,76
1631,1,12,144,25,135,1,28
1632,1,13,156,25,135,1,22
1633,1,11,132,25,135,1,39
1634,2,14,168,25,135,3,79
1635,1,12,144,25,135.1,3,72
1636,1,11,132,25,135.2,3,77
1637,1,10,120,25,135.3,3,77
1638,1,10,120,25,135.5,1,15
1639,1,15,180,25,135.5,1,15
1640,1,12,144,25,135.5,1,23
1641,1,11,132,25,135.5,3,90
1642,1,12,144,25,135.6,2,42
1643,1,11,132,25,135.6,2,58
1644,2,12,144,25,135.6,3,72
1645,2,13,156,25,136,2,57
1646,1,14,168,25,136,1,12
1647,1,12,144,25,136.1,1,23
1648,2,11,132,25,136.2,1,20
1649,2,12,144,25,136.5,2,51
1650,1,10,120,25,136.5,3,86
1651,2,12,144,25,136.5,2,52
1652,1,10,120,25,136.8,1,24
1653,2,10,120,25,136.9,1,17
1654,2,11,132,25,137,2,51
1655,2,10,120,25,137,3,89
1656,1,10,120,25,137.1,3,84
1657,1,11,132,25,137.5,2,65
1658,2,12,144,25,137.5,3,77
1659,2,14,168,25,137.8,2,58
1660,2,12,144,25,138,3,85
1661,2,12,144,25,138.5,3,80
1662,1,12,144,25,139,3,73
1663,1,13,156,25,139.5,2,48
1664,2,10,120,25,139.5,2,49
1665,2,13,156,25,139.6,1,21
1666,1,12,144,25,140.2,2,49
1667,1,13,156,25,141,1,23
1668,1,14,168,25,142,1,28
1669,2,13,156,25,142.8,1,28
1670,2,10,120,25,144.6,2,49
1671,2,14,168,25,145,1,20
1672,2,12,144,25,148.5,3,82
1673,2,12,144,24.5,133.6,1,20
1674,1,12,144,24.5,133.8,1,24
1675,1,12,144,24.5,141.1,1,20
1676,1,11,132,24.1,129.6,3,87
1677,1,10,120,24.1,130,3,74
1678,1,11,132,24.1,132.3,1,21
1679,1,12,144,24.1,133,1,21
1680,1,11,132,24.1,135,3,90
1681,2,12,144,24.1,136.2,1,16
1682,1,10,120,24,118,2,68
1683,1,10,120,24,120,2,66
1684,1,10,120,24,121.8,2,55
1685,1,12,144,24,124.3,2,66
1686,2,10,120,24,125.6,2,68
1687,2,11,132,24,127,2,61
1688,1,12,144,24,127.2,2,56
1689,1,10,120,24,127.2,2,49
1690,1,10,120,24,127.3,2,55
1691,1,10,120,24,129,2,65
1692,2,13,156,24,129.1,2,65
1693,1,11,132,24,129.4,2,68
1694,2,10,120,24,129.6,1,18
1695,2,10,120,24,130,1,11
1696,1,12,144,24,130,3,88
1697,1,11,132,24,130,3,86
1698,1,10,120,24,130.4,1,39
1699,1,10,120,24,130.5,3,84
1700,2,11,132,24,130.7,2,68
1701,1,10,120,24,130.8,2,65
1702,2,10,120,24,131,1,21
1703,2,11,132,24,131,3,89
1704,1,11,132,24,131,3,88
1705,1,14,168,24,131.4,2,40
1706,1,12,144,24,131.4,3,83
1707,2,10,120,24,131.5,1,14
1708,2,10,120,24,131.5,2,63
1709,2,11,132,24,132.2,1,20
1710,1,12,144,24,132.9,2,53
1711,1,12,144,24,133,1,27
1712,1,12,144,24,133,1,27
1713,1,15,180,24,133.1,3,72
1714,1,11,132,24,133.3,3,77
1715,2,17,204,24,133.5,2,47
1716,2,11,132,24,133.5,2,62
1717,1,12,144,24,133.5,3,78
1718,1,12,144,24,134,3,81
1719,1,12,144,24,134.4,3,86
1720,2,12,144,24,134.4,2,50
1721,1,10,120,24,134.5,3,90
1722,1,10,120,24,134.5,2,63
1723,2,11,132,24,135.3,2,40
1724,1,12,144,24,135.4,3,72
1725,2,11,132,24,135.4,3,90
1726,1,11,132,24,136.1,2,55
1727,1,11,132,24,136.2,1,13
1728,1,12,144,24,136.5,3,85
1729,2,12,144,24,136.8,3,86
1730,1,11,132,24,136.8,2,55
1731,2,11,132,24,137.5,1,13
1732,2,14,168,24,138,3,78
1733,1,14,168,24,138.5,3,77
1734,1,14,168,24,139.1,3,87
1735,1,12,144,24,141,3,75
1736,1,13,156,24,143,2,40
1737,1,10,120,24,144.4,1,10
1738,2,10,120,23.5,131.7,1,24
1739,1,11,132,23.5,132.3,2,59
1740,1,14,168,23.5,133.4,1,20
1741,1,10,120,23.4,133.5,1,11
