id,sex,Age,agemons,weight,height,District,Cluster
28,1,14,168,55,163.5,2,58
29,1,16,192,55,163.9,3,87
30,1,18,216,55,167,2,57
31,1,14,168,55,167.2,2,40
32,1,18,216,55,168,2,57
33,1,18,216,55,168.4,1,13
34,1,16,192,55,168.8,3,88
35,1,16,192,55,170.4,2,48
36,1,19,228,55,172.2,2,69
37,1,18,216,55,172.7,1,39
38,1,18,216,54.5,171.8,3,84
39,1,18,216,54.4,158.4,3,85
40,1,17,204,54,154,1,12
41,1,19,228,54,160.3,2,63
42,1,18,216,54,164.4,3,85
43,1,19,228,54,165.4,2,45
44,1,18,216,54,168,1,10
45,1,17,204,54,168.4,2,46
46,1,18,216,54,168.5,2,57
47,1,16,192,54,170.6,2,58
48,1,19,228,54,171,2,57
49,2,13,156,53.5,163.3,2,50
50,1,18,216,53.3,157.1,3,85
51,2,15,180,53.1,160.7,3,72
52,2,18,216,53,152.4,3,89
53,1,16,192,53,156.7,1,20
54,2,16,192,53,158.3,3,88
55,2,17,204,53,159,2,42
56,2,16,192,53,159.5,1,16
57,2,19,228,53,160,1,19
58,2,17,204,53,160.3,1,23
59,1,15,180,53,160.6,1,18
60,2,18,216,53,160.8,1,24
61,1,18,216,53,161,1,28
62,1,17,204,53,161.3,2,54
63,2,19,228,53,162,1,29
64,1,19,228,53,163.6,3,71
65,2,16,192,53,163.8,3,86
66,1,17,204,53,166.5,1,16
67,1,17,204,53,166.5,3,80
68,1,16,192,53,167.1,2,65
69,1,15,180,53,168.4,3,72
70,1,17,204,53,169,1,15
71,1,16,192,53,171.5,3,85
72,2,17,204,52.5,153.8,2,55
73,2,17,204,52.5,158.5,2,60
74,1,17,204,52.5,161.1,2,62
75,1,18,216,52.3,169.1,1,11
76,2,14,168,52.1,156,3,87
77,1,15,180,52.1,166.4,1,11
78,1,18,216,52.1,167.4,1,10
79,1,16,192,52.1,168,1,17
80,1,19,228,52.1,171.5,1,16
81,1,17,204,52.1,172.6,3,77
82,2,17,204,52,151.5,3,84
83,2,18,216,52,152.4,3,89
84,2,16,192,52,152.8,1,17
85,2,18,216,52,154.2,3,75
86,2,17,204,52,155.8,3,88
87,2,18,216,52,158.4,2,64
88,1,19,228,52,160.8,1,17
89,1,19,228,52,161.1,2,56
90,1,19,228,52,161.8,1,18
91,2,19,228,52,162.4,3,75
92,1,18,216,52,162.5,1,20
93,1,19,228,52,162.7,2,53
94,1,18,216,52,163.6,1,17
95,1,16,192,52,164,1,24
96,1,15,180,52,164.2,1,18
97,1,19,228,52,164.2,2,63
98,1,18,216,52,165.6,1,27
99,1,18,216,52,165.7,1,12
100,1,17,204,52,167,1,11
101,1,15,180,52,168.4,1,20
102,1,17,204,52,169.4,3,78
103,1,19,228,52,170,1,27
104,1,15,180,52,170.1,3,72
105,1,16,192,52,170.2,3,79
106,1,15,180,52,172.2,1,17
107,1,17,204,52,173,1,27
108,1,15,180,52,173.4,2,55
109,1,19,228,52,174.5,1,15
110,1,18,216,52,175.7,1,16
111,2,14,168,51.5,155.9,1,24
112,2,15,180,51.1,153.5,3,73
113,1,16,192,51.1,165.5,3,90
114,2,16,192,51,150,3,86
115,2,18,216,51,154.1,2,65
116,2,15,180,51,154.6,3,72
117,2,12,144,51,155.1,3,88
118,2,18,216,51,155.2,3,76
119,2,16,192,51,156,2,64
120,2,17,204,51,156.2,3,79
121,2,18,216,51,156.5,2,60
122,2,19,228,51,157.2,3,89
123,2,19,228,51,157.3,1,17
124,2,17,204,51,159,3,73
125,2,19,228,51,159.3,2,62
126,1,17,204,51,159.6,2,54
127,2,15,180,51,160,1,25
128,2,15,180,51,160.5,2,60
129,1,16,192,51,160.5,1,21
130,1,15,180,51,161,2,68
131,2,16,192,51,161.3,3,84
132,1,18,216,51,161.5,3,90
133,2,15,180,51,162,1,39
134,1,15,180,51,162.5,1,27
135,2,15,180,51,163.1,1,24
136,1,18,216,51,163.2,2,46
137,1,16,192,51,163.3,3,76
138,1,14,168,51,165.2,1,28
139,2,17,204,50,156.7,2,63
140,2,17,204,50,158,2,56
141,2,18,216,50,159.5,2,57
142,2,18,216,50,159.5,3,81
143,2,17,204,50,159.7,3,73
144,2,17,204,50,159.8,3,77
145,1,14,168,50,160.1,1,15
146,2,16,192,50,160.7,3,74
147,2,13,156,50,161.5,1,12
148,2,16,192,50,162.2,1,10
149,1,17,204,50,162.4,1,20
150,2,19,228,50,163,1,10
151,1,19,228,50,163.1,2,47
152,1,19,228,50,164,2,65
153,1,19,228,50,165,2,47
154,1,17,204,50,166,3,84
155,1,15,180,50,167,1,17
156,1,19,228,50,167.4,3,86
157,1,16,192,50,168.1,2,55
158,1,15,180,50,168.3,3,86
159,1,16,192,50,168.8,3,77
160,1,18,216,50,169,2,62
161,1,17,204,50,169.1,2,45
162,2,18,216,50,169.2,1,25
163,1,15,180,50,169.2,3,76
164,1,18,216,50,170,2,58
165,1,19,228,50,172.5,1,10
166,1,18,216,50,173.1,1,25
167,2,18,216,49.5,156,1,24
168,1,18,216,49.5,158.3,1,10
169,1,18,216,49.5,166.4,1,24
170,2,15,180,49.1,156.5,1,21
171,1,18,216,49.1,160.8,1,16
172,1,16,192,49.1,161.8,3,83
173,2,13,156,49,146.4,2,63
174,2,16,192,49,150.3,3,86
175,2,14,168,49,150.8,3,80
176,1,15,180,49,153.3,1,13
177,2,17,204,49,154,2,68
178,2,15,180,49,154.6,2,64
179,2,15,180,49,154.6,3,78
180,2,15,180,49,155.2,3,86
181,2,18,216,49,156,2,65
182,2,17,204,49,156,1,21
183,1,19,228,49,157.1,2,47
184,2,16,192,49,157.2,3,86
185,2,19,228,49,158,3,85
186,2,16,192,49,159.6,3,85
187,1,19,228,49,160.5,2,61
188,2,19,228,49,161,1,39
189,2,17,204,49,161,3,79
190,1,19,228,49,162,1,27
191,2,15,180,49,162.1,3,75
192,2,16,192,49,163.1,1,16
193,1,17,204,49,164,2,66
194,1,19,228,49,164.3,3,86
195,1,16,192,49,165.6,3,77
196,2,18,216,49,165.8,1,24
197,1,18,216,49,165.8,3,73
198,2,18,216,49,166.1,3,89
199,1,17,204,49,167,1,25
200,1,18,216,48.8,161.1,2,66
201,1,17,204,48.5,164.4,2,56
202,2,15,180,48.1,143,3,81
203,2,18,216,48.1,152.9,3,74
204,2,18,216,48.1,156.6,1,16
205,1,14,168,48.1,161.8,3,87
206,1,16,192,48,131.5,1,18
207,2,17,204,48,148.8,1,20
208,2,14,168,48,150,2,57
209,1,14,168,48,151,1,18
210,2,19,228,48,152,2,58
211,1,18,216,48,152.9,2,66
212,2,17,204,48,152.9,2,42
213,2,17,204,48,153,1,10
214,2,18,216,48,153.1,3,72
215,2,19,228,48,153.2,2,65
216,2,18,216,48,153.9,1,18
217,2,18,216,48,154.1,2,55
218,2,17,204,48,154.5,3,88
219,2,15,180,48,154.7,3,85
220,2,15,180,48,155,2,51
221,2,19,228,48,155,3,88
222,2,18,216,48,155,3,84
223,2,17,204,48,156.1,1,24
224,1,18,216,48,156.5,3,87
225,2,17,204,48,156.6,2,67
226,2,19,228,48,157,3,82
227,1,18,216,48,157.4,2,40
228,1,16,192,48,157.5,2,57
229,2,18,216,48,157.6,1,11
230,1,16,192,48,158.5,2,46
231,1,15,180,48,159.4,3,88
232,2,18,216,48,159.6,3,75
233,2,17,204,48,160,1,12
234,1,18,216,48,160.1,2,55
235,1,15,180,48,160.5,1,17
236,2,17,204,48,160.5,1,15
237,1,16,192,48,160.6,3,76
238,2,18,216,48,161,2,55
239,1,15,180,48,161.3,2,51
240,2,13,156,48,162,2,59
241,2,16,192,48,162.1,1,28
242,2,17,204,48,162.2,2,65
243,2,16,192,48,162.2,1,25
244,2,16,192,48,162.5,1,24
245,1,19,228,48,162.5,3,89
246,1,17,204,48,163.5,2,57
247,2,16,192,48,163.5,3,85
248,1,14,168,48,164,1,28
249,1,18,216,48,164.1,2,42
250,1,17,204,48,164.8,2,51
251,1,13,156,48,165.9,2,55
252,1,18,216,48,166.2,3,77
253,1,17,204,48,166.5,2,64
254,1,19,228,48,168,1,12
255,2,16,192,48,168.2,3,81
256,1,16,192,48,171.3,1,16
257,2,19,228,47.7,172.2,2,66
258,2,16,192,47.5,157.6,2,50
259,1,16,192,47.5,170.1,1,24
260,1,17,204,47.4,168.3,2,67
261,1,17,204,47.3,159.4,2,55
262,2,17,204,47.1,150.2,3,79
263,2,15,180,47.1,157.5,3,74
264,2,16,192,47.1,160.5,3,83
265,1,16,192,47.1,162.5,1,19
266,2,19,228,47,149.5,3,73
267,2,19,228,47,150.6,2,53
268,2,17,204,47,151.5,3,73
269,2,19,228,47,151.8,3,79
270,2,18,216,47,152.5,2,47
271,2,14,168,47,154,1,21
272,2,14,168,47,154.6,2,48
273,2,18,216,47,154.7,1,29
274,2,17,204,47,155,2,59
275,1,18,216,47,155,2,64
276,1,19,228,47,156.4,2,51
277,1,15,180,47,156.5,1,28
278,2,16,192,47,156.7,1,20
279,1,14,168,47,157,2,42
280,2,15,180,47,157.3,3,78
281,2,15,180,47,157.5,2,62
282,1,18,216,47,158.4,2,45
283,1,18,216,47,158.4,1,14
284,1,16,192,47,160.5,2,66
285,2,18,216,47,160.5,1,28
286,1,13,156,47,160.7,1,14
287,2,18,216,47,161,1,23
288,1,15,180,45,156.2,2,41
289,2,16,192,45,156.2,1,12
290,2,14,168,45,156.4,3,90
291,1,18,216,45,156.8,3,72
292,2,15,180,45,157,2,41
293,2,16,192,45,157,1,23
294,1,14,168,45,157,2,55
295,2,16,192,45,157.3,1,29
296,1,18,216,45,157.5,1,17
297,1,16,192,45,158,2,64
298,2,16,192,45,158,3,90
299,2,19,228,45,158.2,3,76
300,1,17,204,45,158.5,2,61
301,2,15,180,45,158.5,1,28
302,2,15,180,45,159,1,15
303,2,15,180,45,159.2,3,83
304,2,19,228,45,159.6,2,51
305,1,18,216,45,159.6,2,40
306,2,16,192,45,159.7,1,29
307,1,17,204,45,160,2,66
308,2,16,192,45,160.4,3,78
309,1,18,216,45,161,2,48
310,1,16,192,45,161,2,47
311,1,16,192,45,161,3,85
312,1,17,204,45,161.1,3,81
313,2,16,192,45,161.2,1,28
314,2,15,180,45,162,2,64
315,2,17,204,45,162,1,11
316,2,17,204,45,162.1,1,39
317,1,13,156,45,162.5,2,50
318,2,18,216,45,162.7,1,29
319,1,17,204,45,163.2,3,86
320,1,18,216,45,163.3,2,63
321,1,17,204,45,163.8,2,65
322,2,14,168,45,165,1,25
323,1,18,216,45,165.4,2,49
324,1,15,180,45,165.5,3,84
325,1,14,168,45,166,2,49
326,1,14,168,45,166.5,2,41
327,1,16,192,45,167.5,1,25
328,1,17,204,45,169,1,25
329,2,18,216,45,169.7,3,75
330,1,19,228,45,175.6,3,86
331,1,15,180,44.5,158.6,1,14
332,2,16,192,44.5,164.4,1,11
333,1,14,168,44.4,154.4,3,82
334,2,18,216,44.2,148.4,2,45
335,1,18,216,44.2,163.4,2,59
336,2,19,228,44.1,151,3,74
337,2,15,180,44.1,152.5,3,77
338,2,17,204,44.1,153.2,1,16
339,1,15,180,44.1,156.9,3,87
340,2,15,180,44.1,157,3,87
341,2,16,192,44.1,162.1,1,19
342,2,16,192,44,142.8,2,47
343,2,15,180,44,146.2,1,17
344,2,18,216,44,147.5,3,71
345,2,17,204,44,147.8,2,50
346,2,19,228,44,148,3,73
347,2,18,216,44,148,3,72
348,1,13,156,44,148.5,2,60
349,2,17,204,44,148.5,3,84
350,2,15,180,44,148.8,2,59
351,2,17,204,44,148.8,2,60
352,2,17,204,44,150.2,1,17
353,2,17,204,44,150.2,1,22
354,2,19,228,44,151,2,67
355,2,18,216,44,151.5,2,51
356,2,17,204,44,151.6,2,42
357,2,18,216,44,152,3,81
358,2,16,192,44,152.6,3,75
359,2,17,204,44,152.7,3,85
360,2,14,168,44,153.5,1,12
361,2,15,180,44,153.7,1,10
362,2,18,216,44,153.7,1,23
363,2,17,204,44,153.7,3,81
364,2,15,180,44,154.6,3,78
365,2,18,216,44,155,1,13
366,2,16,192,44,155,1,29
367,2,16,192,44,155.5,1,15
368,1,11,132,44,155.7,2,60
369,2,16,192,44,155.8,3,75
370,2,18,216,44,156,3,73
371,2,16,192,44,156.5,1,10
372,2,16,192,44,156.5,3,73
373,1,15,180,44,156.7,2,68
374,2,16,192,44,157,2,53
375,2,18,216,44,157,2,62
376,1,18,216,44,157,2,42
377,2,17,204,44,157,3,73
378,2,16,192,44,157,3,76
379,2,13,156,44,157.5,1,20
380,2,18,216,44,157.7,3,78
381,1,17,204,44,157.8,2,46
382,2,15,180,44,158,2,68
383,2,14,168,44,158.4,1,11
384,2,18,216,44,159.4,3,86
385,1,15,180,44,161.1,1,12
386,1,17,204,44,161.2,2,47
387,1,15,180,44,161.8,3,78
388,1,16,192,44,162.7,3,77
389,1,16,192,44,163,1,17
390,2,19,228,44,163.2,3,79
391,1,15,180,44,163.5,2,45
392,1,16,192,44,164.6,3,84
393,1,18,216,44,166,1,25
394,1,17,204,44,166.7,2,62
395,1,15,180,43.6,160.2,2,59
396,2,17,204,43.5,149.6,2,69
397,1,14,168,43.5,153.4,2,56
398,2,18,216,43.5,155.9,1,24
399,1,13,156,43.5,161,2,53
400,2,14,168,43.4,153.7,3,85
401,2,16,192,43.2,156,2,41
402,2,16,192,43.1,146.5,3,87
403,2,18,216,43.1,147.4,3,74
404,2,18,216,43.1,153.5,3,74
405,2,15,180,43.1,154.1,1,16
406,1,16,192,43.1,155.5,1,21
407,2,18,216,43.1,160.3,1,17
408,2,15,180,43,142,2,59
409,2,18,216,43,142.3,2,65
410,2,16,192,43,144.3,3,78
411,2,10,120,43,146.4,2,56
412,2,19,228,43,146.6,1,15
413,2,17,204,43,147.4,3,75
414,2,16,192,43,147.5,3,79
415,2,17,204,43,148,2,61
416,2,18,216,43,148,3,79
417,2,16,192,43,149.2,3,89
418,2,18,216,43,150.2,2,42
419,2,15,180,43,150.3,2,62
420,2,18,216,43,150.3,3,72
421,2,18,216,43,151,1,19
422,2,18,216,43,151,1,15
423,2,18,216,43,151.1,2,58
424,2,18,216,43,151.1,2,61
425,2,16,192,43,151.2,2,60
426,2,19,228,43,151.2,2,55
427,1,14,168,43,151.5,2,54
428,2,16,192,43,151.7,3,76
429,2,13,156,43,152.4,2,50
430,2,15,180,43,152.5,1,29
431,2,18,216,43,152.6,3,81
432,2,16,192,43,152.8,2,58
433,1,16,192,43,152.8,2,42
434,2,15,180,43,153,2,61
435,2,16,192,43,153.1,1,16
436,2,19,228,43,153.2,1,14
437,2,17,204,43,154,1,29
438,2,15,180,43,154,3,72
439,2,18,216,43,154,3,80
440,2,18,216,43,154.5,3,87
441,2,18,216,43,154.6,3,86
442,2,15,180,43,154.7,2,68
443,2,15,180,43,154.7,3,81
444,1,15,180,43,155,1,13
445,2,18,216,43,155,3,84
446,2,16,192,43,155.1,3,87
447,2,19,228,43,156,1,27
448,2,18,216,43,157,3,77
449,1,17,204,43,157.3,3,72
450,1,14,168,43,158,1,10
451,1,17,204,43,158.2,2,49
452,2,15,180,43,159,1,13
453,2,16,192,43,159,1,25
454,2,18,216,43,159.5,1,17
455,1,15,180,43,160,2,65
456,2,15,180,43,160,1,23
457,2,16,192,43,161,2,44
458,1,15,180,43,161.1,1,14
459,1,17,204,43,164,1,23
460,1,14,168,43,164,3,79
461,2,15,180,43,164.2,3,89
462,2,18,216,43,165.5,1,28
463,1,18,216,43,168,1,10
464,2,14,168,42.5,148.4,2,61
465,1,17,204,42.5,155.4,1,14
466,2,18,216,42.3,147.1,1,25
467,2,18,216,42.3,160,3,85
468,2,18,216,42.3,161.5,3,85
469,2,17,204,42.2,150.5,3,74
470,2,15,180,42.1,146,3,73
471,2,19,228,42.1,151.1,3,87
472,2,16,192,42.1,151.6,3,76
473,2,19,228,42.1,152.5,3,87
474,2,18,216,42.1,156,1,19
475,1,14,168,42.1,156.2,1,13
476,2,18,216,42.1,156.8,3,90
477,2,18,216,42.1,158.5,1,19
478,1,15,180,42.1,158.6,1,19
479,2,15,180,42.1,159.9,1,10
480,1,15,180,42.1,161.7,3,76
481,1,17,204,42.1,162.5,1,11
482,1,12,144,42.1,167.1,3,85
483,1,19,228,42,139,2,67
484,2,10,120,42,140,1,15
485,1,14,168,42,142.3,2,42
486,2,14,168,42,143.1,3,74
487,2,15,180,42,144.2,3,90
488,2,14,168,42,145,1,21
489,2,16,192,42,145.4,2,59
490,2,15,180,42,145.5,2,59
491,2,15,180,42,146,2,57
492,2,15,180,42,146.1,1,22
493,2,18,216,42,146.2,3,86
494,2,19,228,42,148.5,1,17
495,2,18,216,42,149,3,88
496,2,11,132,42,149.4,2,46
497,2,18,216,42,150,3,89
498,1,14,168,42,150.2,3,80
499,2,16,192,42,150.3,3,78
500,2,15,180,42,150.3,2,68
501,2,10,120,42,150.8,1,21
502,2,13,156,42,151,1,29
503,2,19,228,42,151,2,55
504,2,19,228,42,151.3,2,58
505,2,16,192,42,151.5,2,57
506,2,17,204,42,151.5,2,58
507,2,18,216,42,151.5,1,27
508,2,17,204,42,152.5,1,28
509,1,18,216,42,152.5,3,79
510,1,14,168,42,152.6,1,22
511,2,16,192,42,153,2,59
512,1,15,180,42,153.1,2,67
513,1,16,192,42,153.3,2,69
514,2,15,180,42,155.5,3,84
515,2,19,228,42,155.6,3,73
516,2,16,192,42,155.7,1,15
517,2,16,192,42,155.7,3,86
518,1,15,180,42,156,2,60
519,2,15,180,42,156.1,2,65
520,1,15,180,42,156.1,3,81
521,2,15,180,42,156.9,2,69
522,2,15,180,42,157,2,46
523,2,15,180,42,157,1,13
524,2,14,168,42,157.6,3,85
525,1,15,180,42,157.9,2,69
526,2,18,216,42,158,3,86
527,2,13,156,42,158.1,1,23
528,1,12,144,42,158.3,1,27
529,2,16,192,42,158.3,1,29
530,1,17,204,42,158.4,2,51
531,2,18,216,42,158.5,3,75
532,1,16,192,42,159.5,1,15
533,1,14,168,42,159.5,1,23
534,2,19,228,42,159.7,2,49
535,1,15,180,42,159.7,3,85
536,2,14,168,42,160.2,3,90
537,1,16,192,42,161,1,25
538,1,16,192,42,161,3,79
539,1,17,204,42,162,2,46
540,1,14,168,42,163,3,86
541,1,17,204,42,163.1,1,16
542,1,16,192,42,163.4,2,40
543,1,13,156,42,163.5,1,11
544,1,14,168,42,165.1,1,20
545,2,19,228,41.5,150.2,2,59
546,1,16,192,41.5,156,2,61
547,2,17,204,41.5,156.3,1,24
548,2,17,204,41.1,150.2,3,76
549,1,15,180,41.1,150.7,1,17
550,2,14,168,41.1,152.9,1,16
551,1,17,204,41.1,163,1,25
552,2,16,192,41,141.6,1,39
553,2,16,192,41,145.5,2,53
554,2,15,180,41,145.6,3,76
555,2,14,168,41,146.2,3,83
556,2,19,228,41,148,2,50
557,2,17,204,41,148.1,2,58
558,2,15,180,41,149,2,61
559,2,16,192,41,149,1,39
560,2,18,216,41,149.3,3,77
561,2,16,192,41,149.7,1,24
562,2,16,192,41,149.7,3,81
563,2,15,180,41,149.8,2,42
564,2,13,156,41,150.1,2,69
565,2,18,216,41,150.1,1,29
566,2,14,168,41,150.3,3,81
567,2,15,180,41,150.5,3,82
568,2,18,216,41,150.7,2,46
569,2,18,216,41,150.7,1,17
570,2,17,204,41,151,2,56
571,2,16,192,41,151,2,45
572,2,19,228,41,151.6,3,89
573,2,17,204,41,152,2,55
574,2,17,204,41,152.3,1,20
575,2,17,204,41,152.7,1,16
576,2,16,192,41,153.1,2,57
577,2,15,180,41,153.1,2,62
578,1,14,168,41,153.2,1,25
579,1,15,180,41,153.4,3,79
580,1,16,192,41,153.4,3,85
581,2,15,180,41,153.7,1,10
582,1,14,168,41,153.7,3,77
583,2,16,192,41,154.3,3,89
584,1,18,216,41,154.4,2,64
585,2,19,228,41,155.5,2,48
586,2,17,204,41,156,2,50
587,1,15,180,41,156.4,3,72
588,1,13,156,41,156.5,2,62
589,2,16,192,41,157,1,24
590,1,14,168,41,157.1,1,23
591,1,14,168,41,157.9,1,24
592,2,18,216,41,158.3,2,55
593,2,17,204,41,158.7,2,69
594,2,18,216,41,158.7,1,29
595,1,15,180,41,158.8,2,62
596,2,16,192,41,159,1,39
597,1,16,192,41,159.1,1,23
598,1,16,192,41,159.2,1,21
599,2,16,192,41,159.5,1,27
600,1,16,192,41,160.2,2,40
601,1,10,120,41,160.9,2,46
602,1,16,192,41,161,1,27
603,1,16,192,41,161,3,88
604,1,19,228,41,161.6,1,16
605,1,15,180,41,161.8,3,88
606,2,17,204,41,162.5,1,12
607,1,15,180,41,163.2,1,18
608,1,18,216,41,164,1,29
609,1,16,192,41,164,1,24
610,1,16,192,41,164.1,3,76
611,2,13,156,40.5,152.1,1,14
612,1,18,216,40.5,154.2,2,68
613,2,19,228,40.5,154.4,1,18
614,2,14,168,40.3,144.7,2,68
615,1,13,156,40.2,156.5,2,68
616,2,17,204,40.1,147.2,3,72
617,1,19,228,40.1,148.5,2,68
618,1,16,192,40.1,165,2,42
619,2,17,204,40,115,3,85
620,2,18,216,40,141.4,2,64
621,2,14,168,40,143,2,66
622,2,12,144,40,143.5,2,61
623,2,12,144,40,143.5,3,80
624,2,12,144,40,143.8,2,66
625,2,16,192,40,145.1,2,61
626,2,15,180,40,145.2,3,78
627,2,15,180,40,146,2,61
628,2,19,228,40,146,3,86
629,2,11,132,40,146.5,3,87
630,2,17,204,40,147,1,22
631,2,18,216,40,147.1,3,82
632,2,12,144,40,147.2,3,71
633,2,16,192,40,147.5,2,44
634,2,18,216,40,148,2,47
635,2,17,204,40,148,1,13
636,2,19,228,40,148.5,3,85
637,2,14,168,40,149,1,11
638,2,16,192,40,149.1,2,42
639,1,15,180,40,149.2,2,56
640,2,16,192,40,149.5,2,57
641,2,12,144,40,149.5,1,18
642,2,16,192,40,150,2,59
643,2,14,168,40,150.4,3,85
644,2,18,216,40,151,1,15
645,2,17,204,40,151,1,23
646,2,17,204,40,151,1,22
647,2,16,192,40,151,1,22
648,2,17,204,40,151,3,77
649,2,16,192,40,151,2,55
650,2,14,168,40,151.1,2,57
651,2,12,144,40,151.1,2,45
652,2,19,228,40,151.5,2,51
653,1,13,156,40,151.5,2,62
654,1,13,156,40,151.7,2,66
655,1,16,192,40,151.8,2,54
656,1,14,168,40,151.8,2,55
657,2,15,180,40,152,3,86
658,1,15,180,40,152.2,3,72
659,2,17,204,40,152.3,1,15
660,2,19,228,40,152.4,2,68
661,1,14,168,40,152.4,3,86
662,2,17,204,40,152.4,3,85
663,2,18,216,40,152.7,2,47
664,2,18,216,40,152.7,1,21
665,1,13,156,40,152.8,2,68
666,1,16,192,40,153,2,59
667,2,15,180,40,153.2,2,68
668,2,15,180,40,153.3,1,27
669,1,18,216,40,153.6,3,86
670,2,15,180,40,154,2,51
671,2,18,216,40,154,2,45
672,2,14,168,40,154,1,39
673,2,17,204,40,154.1,3,75
674,1,13,156,40,154.2,2,67
675,2,13,156,40,154.5,3,80
676,1,14,168,40,154.6,2,68
677,1,14,168,40,154.8,2,40
678,2,18,216,40,154.8,3,77
679,1,16,192,40,155,1,18
680,2,15,180,40,155,1,28
681,2,15,180,40,155,3,75
682,2,16,192,40,155.1,2,44
683,2,16,192,40,155.2,1,12
684,2,13,156,40,155.4,2,42
685,1,14,168,40,155.5,2,69
686,2,18,216,40,155.5,1,25
687,2,14,168,40,155.5,3,84
688,2,14,168,40,155.8,3,85
689,2,17,204,40,156,2,53
690,1,14,168,40,156,2,44
691,1,14,168,40,156.2,2,60
692,1,15,180,40,156.2,2,61
693,2,15,180,40,156.3,1,39
694,1,15,180,40,156.6,1,25
695,1,15,180,40,156.7,1,22
696,1,16,192,40,157.3,2,46
697,2,16,192,40,158.4,1,11
698,1,15,180,40,159.3,1,24
699,1,15,180,40,159.4,2,49
700,2,11,132,40,159.4,1,25
701,2,17,204,40,159.4,3,82
702,2,18,216,40,159.8,3,80
703,2,13,156,40,160,2,62
704,2,16,192,40,160,3,84
705,1,16,192,40,160.5,3,76
706,2,12,144,40,160.5,3,89
707,2,18,216,40,160.8,1,18
708,1,15,180,40,162.1,2,62
709,1,15,180,40,162.5,3,81
710,1,16,192,40,164,1,25
711,2,14,168,39.9,152.5,2,40
712,2,15,180,39.5,154.8,1,24
713,1,14,168,39.5,156.4,1,18
714,1,14,168,39.2,146.1,2,41
715,2,16,192,39.1,152,1,19
716,2,16,192,39.1,158,1,16
717,2,13,156,39,133.6,2,68
718,1,13,156,39,136,1,12
719,2,11,132,39,138.5,3,78
720,1,15,180,39,140.2,1,27
721,2,15,180,39,141,1,29
722,2,13,156,39,141,3,83
723,2,14,168,39,141.9,2,69
724,2,17,204,39,144,1,20
725,2,17,204,39,144.5,2,44
726,2,15,180,39,145.5,3,84
727,2,13,156,39,145.7,2,62
728,1,14,168,39,146,2,66
729,2,17,204,39,146.2,2,62
730,2,16,192,39,147.2,1,22
731,2,12,144,39,147.5,1,18
732,2,11,132,39,148,1,12
733,2,14,168,39,148.4,2,55
734,2,18,216,39,148.5,1,29
735,2,19,228,39,149,1,13
736,2,15,180,39,149,3,73
737,1,14,168,39,149.2,2,55
738,2,16,192,39,150,3,80
739,2,12,144,39,150.3,2,69
740,2,13,156,39,150.5,1,17
741,2,17,204,39,150.6,1,25
742,1,14,168,39,150.7,2,42
743,2,19,228,39,150.8,1,14
744,1,14,168,39,151,2,63
745,1,12,144,39,151.2,2,62
746,1,13,156,39,151.5,1,10
747,2,14,168,39,152,3,75
748,2,15,180,39,152.1,1,28
749,2,12,144,39,152.3,3,89
750,2,19,228,39,152.5,3,77
751,2,14,168,39,153,3,75
752,2,15,180,39,153.4,1,24
753,1,16,192,39,154,1,20
754,1,14,168,39,154.5,1,20
755,2,12,144,39,154.5,1,24
756,2,18,216,39,155.1,1,14
757,2,18,216,39,155.5,1,28
758,2,16,192,39,156,1,39
759,1,17,204,39,156,3,79
760,1,16,192,39,156.2,3,72
761,2,15,180,39,156.6,1,14
762,1,15,180,39,156.6,1,27
763,1,13,156,39,157.6,2,46
764,1,16,192,39,158.5,1,39
765,2,18,216,39,158.6,1,14
766,2,15,180,39,160.3,1,11
767,2,15,180,39,161,1,39
768,2,14,168,39,161,3,75
769,2,15,180,39,161.5,1,28
770,2,17,204,39,161.5,3,76
771,1,18,216,39,163.3,2,61
772,2,14,168,38.5,141.5,2,62
773,2,13,156,38.5,147,2,61
774,2,15,180,38.5,147.1,2,46
775,2,15,180,38.5,149.6,1,14
776,2,19,228,38.5,152,2,49
777,2,15,180,38.5,156,1,24
778,2,11,132,38.5,159.7,2,49
779,1,14,168,38.1,154.2,1,16
780,1,13,156,38,139,1,22
781,1,13,156,38,139.9,1,14
782,1,12,144,38,140.9,2,46
783,2,11,132,38,141,2,69
784,2,12,144,38,141.3,2,67
785,2,13,156,38,142.7,2,67
786,2,18,216,38,142.9,2,68
787,2,12,144,38,143.6,3,89
788,2,16,192,38,144,3,83
789,2,11,132,38,144.3,2,51
790,2,16,192,38,145,2,60
791,2,18,216,38,145,3,73
792,2,16,192,38,145.1,3,89
793,2,16,192,38,145.8,1,20
794,2,16,192,38,147,2,48
795,2,14,168,38,147.7,3,80
796,2,15,180,38,148,2,64
797,2,12,144,38,148,2,50
798,2,12,144,38,148.1,2,60
799,2,10,120,38,148.3,2,69
800,1,13,156,38,148.3,2,63
801,1,12,144,38,148.5,2,57
802,2,14,168,38,149.5,2,54
803,1,14,168,38,149.5,2,68
804,2,15,180,38,149.5,2,41
805,2,12,144,38,149.5,1,39
806,2,18,216,38,149.7,2,69
807,2,19,228,38,150,1,17
808,1,11,132,38,150,2,55
809,2,13,156,38,150.1,3,76
810,2,13,156,38,150.2,1,10
811,1,13,156,38,150.5,2,60
812,1,14,168,38,150.5,1,39
813,2,12,144,38,151,1,25
814,2,15,180,38,151,3,78
